axis_ratio,filename,largest_ratio,max_edge_ratio,status,thick_faces,thick_largest,thick_max_edge,thick_vertices,thin_faces,thin_largest,thin_max_edge,thin_vertices
47741.8688,longline-short-sleeve-top-3d-garment-model.glb,19705.2119,276635.2071,suspicious,1843332,1328293.3750,695969.6295,943497,786415,67.4082,2.5158,465981
27342.0433,minimal-long-sleeve-pullover-3d-garment-model.glb,11081.6795,330370.1861,suspicious,972008,876736.6875,590544.4489,491645,425448,79.1159,1.7875,245120
1.0010,oversized-utility-shirt-dress-3d-model.glb,1.0005,1.0090,ok,305060,83.8016,1.1564,152586,147106,83.7610,1.1460,76293
12.9032,pants-3d-model-01-2fc05c1e.glb,4.0387,146.2166,suspicious,57588,39.8272,50.6304,28848,26704,9.8613,0.3463,14411
2.0037,pants-3d-model-02-3999c50f.glb,2.0037,104.5079,suspicious,244908,19.4909,18.0821,123620,104179,9.7273,0.1730,61310
16.2522,pants-3d-model-03-3b0f4130.glb,6.1664,189.5057,suspicious,95496,60.6752,73.7702,48220,43530,9.8397,0.3893,24032
1.0112,pants-3d-model-04-9373b5df.glb,1.0031,5.4237,ok,430812,11.1750,0.7554,217312,179020,11.1407,0.1393,107402
1.0125,pants-3d-model-05-81bfd078.glb,1.0014,1.0238,ok,84836,9.9785,0.1585,42482,40208,9.9645,0.1548,21241
1.0113,pants-3d-model-06-17caa346.glb,1.0031,5.4329,ok,365520,11.1753,0.7567,182776,179020,11.1407,0.1393,91388
2.0055,pants-3d-model-07-ce8fc26f.glb,1.5156,77.5211,suspicious,526192,15.7035,5.9104,263192,254956,10.3613,0.0762,131593
1.0096,pants-3d-model-08-8ad74c82.glb,1.0005,5.0365,ok,543084,9.4003,0.4519,271922,261297,9.3955,0.0897,135873
1.0129,pants-3d-model-09-2e6a84e9.glb,1.0044,8.0187,ok,570364,9.3538,0.6696,286756,266418,9.3129,0.0835,143152
1.0129,pants-3d-model-10-81d86cf9.glb,1.0079,1.0867,ok,106044,11.4261,0.2372,53056,50613,11.3362,0.2183,26524
1.0108,pants-3d-model-11-edffe4a5.glb,1.0065,1.0075,ok,16000,3.7846,0.2196,8020,7432,3.7601,0.2180,4007
1.0140,pants-3d-model-12-d5df211f.glb,1.0010,1.0088,ok,45540,10.5493,0.2348,22794,21476,10.5382,0.2327,11397
1.0141,pants-3d-model-13-16d90746.glb,1.0026,1.0121,ok,38116,5.0485,0.2325,19416,13292,5.0353,0.2297,9708
1.0093,pants-3d-model-14-333f5add.glb,1.0007,1.0008,ok,45460,9.9508,0.2131,22740,21763,9.9441,0.2130,11370
1.0012,puff-sleeve-button-blouse-3d-model.glb,1.0003,3.3060,ok,230344,66.4347,3.4258,115266,109601,66.4134,1.0362,57633
1.0011,puff-sleeve-v-neck-button-top-3d-model.glb,1.0004,1.7378,ok,267644,74.4971,2.5387,134088,121706,74.4685,1.4609,67044
25608.3794,quarter-zip-long-sleeve-top-3d-model.glb,10744.7966,370151.0327,suspicious,2233796,759259.5000,662307.1780,1178873,971944,70.6630,1.7893,563579
11.3143,round-neck-button-womens-top-3d-model.glb,11.3143,1020.4512,suspicious,281300,1138.4323,1138.4323,140868,125834,100.6191,1.1156,70419
30.3296,shirt-3d-model-01-7911a7bb.glb,12.6865,955.8871,suspicious,83352,104.2802,143.0236,41692,40371,8.2198,0.1496,20846
1.1932,shirt-3d-model-02-66e9b2b5.glb,1.0126,28.5484,suspicious,82992,8.3268,4.2833,41512,40191,8.2234,0.1500,20756
1.0098,shirt-3d-model-03-f2dac145.glb,1.0038,6.5280,ok,82260,8.2587,0.9894,41148,39855,8.2272,0.1516,20574
